link,Product Name,Picture URL,Price in India,Rating,Total Ratings,Type,Description
https://gadgets.ndtv.com/acer-travelmate-p2-tmp259-g2-mg-5312,Acer TravelMate P2 TMP259-G2-MG,https://i.gadgets360cdn.com/products/laptops/large/1525207612_635_travelmate-p2-tmp259-g2-mg.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 42,900",3.821782178,1000,Laptop,"RAM : 8GB, SIZE : 15.60-inch, SSD : No, Operating System : Windows 10 Professional, HDD : 1TB, Model Number : TMP259-G2-MG, Processor : Intel Core i5 7th Gen 7200U, Graphics : Nvidia GeForce 940MX, Resolution : 1366x768 pixels, Weight : 2.2, Dimensions : 381.60 x 259.00 x 30.20, Bluetooth version : 4.2, Base clock speed : 2.5 GHz, USB Ports : 1 x USB 2.0, 2 x USB 3.0, Battery Life : 8, Expandable RAM(in GB) : 32GB"
https://gadgets.ndtv.com/hp-pavilion-15-ab522tx-5223,HP Pavilion 15-ab522tx,https://i.gadgets360cdn.com/products/laptops/large/1525206210_635_pavilion-15-ab522tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 59,190",4.12745098,1000,Laptop,"RAM : 8GB, SIZE : 15.60-inch, SSD : No, Operating System : Windows 10 Home, HDD : 1TB, Model Number : 15-ab522tx, Processor : Intel Core i5 6th Gen 6200U, Graphics : Nvidia GeForce 940M, Resolution : 1366x768 pixels, Weight : 2.09, Dimensions : 384.50 x 2611.00 x 25.20, Bluetooth version : 4, Base clock speed : 2.3 GHz, USB Ports : 1 x USB 2.0, 2 x USB 3.0, Battery Life : 4.5, Expandable RAM(in GB) : 8GB"
https://gadgets.ndtv.com/hp-pavilion-15-ac179tx-5232,HP Pavilion 15-ac179tx,https://i.gadgets360cdn.com/products/laptops/large/1525206224_635_pavilion-15-ac179tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 43,690",3.06,1000,Laptop,"RAM : 4GB, SIZE : 15.60-inch, SSD : No, Operating System : DOS, HDD : 1TB, Model Number : 15-ac179tx, Processor : Intel Core i5 6th Gen I5 6200U, Graphics : Nvidia GeForce 820M, Resolution : 1366x768 pixels, Weight : 2.19, Dimensions : 384.30 x 254.60 x 24.30, Bluetooth version : 4, Base clock speed : 2.2 GHz, USB Ports : 1 x USB 2.0, 2 x USB 3.0, Battery Life : 5, Expandable RAM(in GB) : 8GB"
https://gadgets.ndtv.com/asus-r558uq-dm540d-5336,Asus R558UQ-DM540D,https://i.gadgets360cdn.com/products/laptops/large/1525207643_635_r558uq-dm540d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 40,999",3.97029703,1000,Laptop,"RAM : 4GB, SIZE : 15.60-inch, SSD : No, Operating System : DOS, HDD : 1TB, Model Number : R558UQ-DM540D, Processor : Intel Core i5 7th Gen 7200U, Graphics : Nvidia GeForce 940MX, Resolution : 1080x1920 pixels, Weight : 2.1, Dimensions : 256.00 x 382.00 x 26.00, Bluetooth version : 4, Base clock speed : 2.5 GHz, USB Ports : 1 x USB 2.0, 1 x USB 3.0, 1 x USB 3.1 Gen 1 (Type C), Battery Life : 4.5, Expandable RAM(in GB) : 12GB"
https://gadgets.ndtv.com/asus-r558uq-dm701d-5338,Asus R558UQ-DM701D,https://i.gadgets360cdn.com/products/laptops/large/1525207665_635_r558uq-dm701d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 51,990",3.485148515,1000,Laptop,"RAM : 8GB, SIZE : 15.60-inch, SSD : No, Operating System : DOS, HDD : 1TB, Model Number : R558UQ-DM701D, Processor : Intel Core i7 7th Gen 7500U, Graphics : Intel Integrated HD Graphics 5500, Resolution : 1920x1080 pixels, Weight : 2.3, Dimensions : 382.00 x 256.00 x 25.50, Bluetooth version : 4, Base clock speed : 2.7 GHz, USB Ports : 1 x USB 2.0, 1 x USB 3.0, Battery Life : 4.5, Expandable RAM(in GB) : 12GB"
https://gadgets.ndtv.com/asus-r558uf-dm175d-5146,Asus R558UF-DM175D,https://i.gadgets360cdn.com/products/laptops/large/1525205925_635_r558uf-dm175d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 44,390",4.316831683,1000,Laptop,"RAM : 4GB, SIZE : 15.60-inch, SSD : No, Operating System : Windows 10 Home, HDD : 2TB, Model Number : R558UF-DM175D, Processor : Intel Core i5 6th Gen 6200U, Graphics : Nvidia GeForce 930M, Resolution : 1920x1080 pixels, Weight : 2.3, Dimensions : 382.00 x 258.00 x 25.50, Bluetooth version : 4, Base clock speed : 2.8 GHz, USB Ports : 1 x USB 2.0, 1 x USB 3.0, Battery Life : 4.5, Expandable RAM(in GB) : 12GB"
https://gadgets.ndtv.com/hp-14-ac153tx-5068,HP 14-ac153tx,https://i.gadgets360cdn.com/products/laptops/large/1525204308_635_14-ac153tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 35,999",3.74,1000,Laptop,"RAM : 4GB, SIZE : 14.00-inch, SSD : No, Operating System : Windows 10 Home, HDD : 1TB, Model Number : 14-ac153tx, Processor : Intel Core i3 5th Gen 6100U, Graphics : AMD Radeon R5 M330, Resolution : 1366x768 pixels, Weight : 1.94, Dimensions : 345.40 x 241.50 x 23.90, Bluetooth version : 4, Base clock speed : 2 GHz, USB Ports : 2 x USB 2.0, 1 x USB 3.0, Battery Life : 4, Expandable RAM(in GB) : 8GB"
https://gadgets.ndtv.com/hp-15-an003tx-5241,HP 15-an003tx,https://i.gadgets360cdn.com/products/laptops/large/1525206239_635_15-an003tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 63,899",3.643564356,1000,Laptop,"RAM : 8GB, SIZE : 15.60-inch, SSD : No, Operating System : Windows 10 Home, HDD : 1TB, Model Number : 15-an003tx, Processor : Intel Core i5 6th Gen 6200U, Graphics : Nvidia GeForce 940M, Resolution : 1920x1080 pixels, Weight : 2.09, Dimensions : 384.50 x 261.10 x 25.20, Bluetooth version : 4, Base clock speed : 2.3 GHz, USB Ports : 1 x USB 2.0, 2 x USB 3.0, Battery Life : 4.5, Expandable RAM(in GB) : 16GB"
https://gadgets.ndtv.com/hp-15-ay507tx-5255,HP 15-ay507tx,https://i.gadgets360cdn.com/products/laptops/large/1525206312_635_15-ay507tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 47,500",3.336633663,1000,Laptop,"RAM : 8GB, SIZE : 15.60-inch, SSD : No, Operating System : Windows 10 Home, HDD : 1TB, Model Number : 15-ay507tx, Processor : Intel Core i5 6th Gen 6200U, Graphics : AMD Radeon R5 M430, Resolution : 1366x768 pixels, Weight : 2.19, Dimensions : 384.30 x 254.60 x 24.30, Bluetooth version : 4, Base clock speed : 2.3 GHz, USB Ports : 2 x USB 2.0, 1 x USB 3.0, Battery Life : 9, Expandable RAM(in GB) : 16GB"
https://gadgets.ndtv.com/hp-pavilion-15-ab027tx-5053,HP Pavilion 15-AB027TX,https://i.gadgets360cdn.com/products/laptops/large/1546455290_635_hp_pavilion-15-ab027tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 44,999",3.544554455,1000,Laptop,"RAM : 4GB, SIZE : 15.60-inch, SSD : No, Operating System : Windows 8.1, HDD : 1TB, Model Number : 15-AB027TX, Processor : Intel Core i3 5th Gen 5010U, Graphics : AMD Radeon R7 M360, Resolution : 1920x1080 pixels, Weight : 2.29, Dimensions : 384.56 x 261.11 x 25.15, Bluetooth version : 4, Base clock speed : 2.1 GHz, USB Ports : 1 x USB 2.0, 2 x USB 3.0, Battery Life : , Expandable RAM(in GB) : 16GB"
