url,Picture URL,Product Name,Price in India,Total Ratings,Type,Rating,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Description,Hard Disk,Console Type,AV Digital Output,RAM,Input method,Screen Size,USB,Processor,Graphics,Weight,Console Family,Launched
https://gadgets.ndtv.com/microsoft-xbox-360-11997,https://i.gadgets360cdn.com/products/large/1549531497_635_xbox_360_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Microsoft Xbox 360 (Black, 4GB)","₹ 27,990",412,Gaming console,4.356435644,8,1,6,13,72," Hard Disk : 4GB, 250GB, Console Type : Home Console, AV Digital Output : Composite video (S-Video); Component (D-Terminal), VGA, RAM : 512MB, Input Method : Disc, Screen Size : , USB Ports : 4 USB 2.0 ports, Processor : 3.2GHz PowerPC Tri-Core, Graphics : 512MB GDDR3 RAM, Weight : 2.9kg, Console Family : Microsoft Xbox 360, Launched : 38657","4GB, 250GB",Home Console,"Composite video (S-Video); Component (D-Terminal), VGA",512MB,Disc,,4 USB 2.0 ports,3.2GHz PowerPC Tri-Core,512MB GDDR3 RAM,2.9kg,Microsoft Xbox 360,November 2005
https://gadgets.ndtv.com/new-nintendo-3ds-11998,https://i.gadgets360cdn.com/products/large/1549531514_635_new_nintendo_3ds.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,,,Gaming console,0,0,0,0,0,0," Hard Disk : 1GB, Console Type : Handheld Console, AV Digital Output : No, RAM : 256MB, Input Method : Cartridge, Screen Size : 3.88-inches (upper); 3.33-inches (lower), USB Ports : No, Processor : 804 MHz ARM11 MPCore quad-core, Graphics : 204 MHz DMP PICA200, Weight : 230g, Console Family : Nintendo DS, Launched : 41944",1GB,Handheld Console,No,256MB,Cartridge,3.88-inches (upper); 3.33-inches (lower),No,804 MHz ARM11 MPCore quad-core,204 MHz DMP PICA200,230g,Nintendo DS,November 2014
https://gadgets.ndtv.com/nintendo-2ds-11996,https://i.gadgets360cdn.com/products/large/1549530220_635_nintendo_2ds.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,,,Gaming console,0,0,0,0,0,0," Hard Disk : 1GB, Console Type : Handheld Console, AV Digital Output : No, RAM : 128MB, Input Method : Cartridge, Screen Size : 3.53-inches (upper); 3.02-inches (lower), USB Ports : No, Processor : Dual-Core ARM11 MPCore, Graphics : DMP PICA200 GPU, Weight : 260g, Console Family : Nintendo DS, Launched : 41548",1GB,Handheld Console,No,128MB,Cartridge,3.53-inches (upper); 3.02-inches (lower),No,Dual-Core ARM11 MPCore,DMP PICA200 GPU,260g,Nintendo DS,October 2013
https://gadgets.ndtv.com/sony-playstation-3-11993,https://i.gadgets360cdn.com/products/large/1549529231_635_ps3_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony Playstation 3 (Black),"₹ 13,900",258,Gaming console,4.03960396,13,3,7,17,60," Hard Disk : 12GB, 500GB, Console Type : Home Console, AV Digital Output : Composite video (S-Video, RGB SCART); Component (D-Terminal), Optical out, RAM : 256MB, Input Method : Disc, Screen Size : , USB Ports : 4 USB 2.0 ports, Processor : 3.2GHz Cell Broadband Engine, Graphics : 550MHz, Weight : 2.1kg, Console Family : Sony PlayStation 3, Launched : 39022","12GB, 500GB",Home Console,"Composite video (S-Video, RGB SCART); Component (D-Terminal), Optical out",256MB,Disc,,4 USB 2.0 ports,3.2GHz Cell Broadband Engine,550MHz,2.1kg,Sony PlayStation 3,November 2006
https://gadgets.ndtv.com/nintendo-dsi-xl-12024,https://i.gadgets360cdn.com/products/large/1550059330_635_nintendo_DSI_XL.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,,,Gaming console,0,0,0,0,0,0," Hard Disk : 256MB, Console Type : Handheld Console, AV Digital Output : No, RAM : 16MB, Input Method : Cartridge, Screen Size : 4.2-inches (upper); 4.2-inches (lower), USB Ports : No, Processor : ARM9 @ 133MHz; ARM7 @33MHz, Graphics : No, Weight : 314g, Console Family : Nintendo DS, Launched : 40238",256MB,Handheld Console,No,16MB,Cartridge,4.2-inches (upper); 4.2-inches (lower),No,ARM9 @ 133MHz; ARM7 @33MHz,No,314g,Nintendo DS,March 2010
https://gadgets.ndtv.com/sony-playstation-3-11993,https://i.gadgets360cdn.com/products/large/1549529231_635_ps3_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Sony Playstation 3 (Black, 500GB)","₹ 22,500",258,Gaming console,4.03960396,13,3,7,17,60," Hard Disk : 12GB, 500GB, Console Type : Home Console, AV Digital Output : Composite video (S-Video, RGB SCART); Component (D-Terminal), Optical out, RAM : 256MB, Input Method : Disc, Screen Size : , USB Ports : 4 USB 2.0 ports, Processor : 3.2GHz Cell Broadband Engine, Graphics : 550MHz, Weight : 2.1kg, Console Family : Sony PlayStation 3, Launched : 39022","12GB, 500GB",Home Console,"Composite video (S-Video, RGB SCART); Component (D-Terminal), Optical out",256MB,Disc,,4 USB 2.0 ports,3.2GHz Cell Broadband Engine,550MHz,2.1kg,Sony PlayStation 3,November 2006
https://gadgets.ndtv.com/nintendo-ds-lite-12022,https://i.gadgets360cdn.com/products/large/1550057942_635_nintendo_ds_lite_.png?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,,,Gaming console,0,0,0,0,0,0," Hard Disk : 256KB, Console Type : Handheld Console, AV Digital Output : No, RAM : 4MB, Input Method : Cartridge, Screen Size : 3-inches (upper); 3-inches (lower), USB Ports : No, Processor : ARM946E-S @ 67 MHz; ARM7TDMI @ 33 MHz, Graphics : No, Weight : 218g, Console Family : Nintendo DS, Launched : 38869",256KB,Handheld Console,No,4MB,Cartridge,3-inches (upper); 3-inches (lower),No,ARM946E-S @ 67 MHz; ARM7TDMI @ 33 MHz,No,218g,Nintendo DS,June 2006
https://gadgets.ndtv.com/microsoft-xbox-360-11997,https://i.gadgets360cdn.com/products/large/1549531497_635_xbox_360_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft Xbox 360 (Black),"₹ 22,450",412,Gaming console,4.356435644,8,1,6,13,72," Hard Disk : 4GB, 250GB, Console Type : Home Console, AV Digital Output : Composite video (S-Video); Component (D-Terminal), VGA, RAM : 512MB, Input Method : Disc, Screen Size : , USB Ports : 4 USB 2.0 ports, Processor : 3.2GHz PowerPC Tri-Core, Graphics : 512MB GDDR3 RAM, Weight : 2.9kg, Console Family : Microsoft Xbox 360, Launched : 38657","4GB, 250GB",Home Console,"Composite video (S-Video); Component (D-Terminal), VGA",512MB,Disc,,4 USB 2.0 ports,3.2GHz PowerPC Tri-Core,512MB GDDR3 RAM,2.9kg,Microsoft Xbox 360,November 2005
https://gadgets.ndtv.com/microsoft-xbox-one-x-11989,https://i.gadgets360cdn.com/products/large/1549457475_635_xbox_one_x.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Microsoft Xbox One X (Black, 1TB)","₹ 43,990",297,Gaming console,4.089108911,14,3,5,12,66," Hard Disk : 1TB, Console Type : Home Console, AV Digital Output : HDMI-out, Optical Out, RAM : 12GB, Input Method : Disc, Screen Size : , USB Ports : 3 USB 3.0 ports, Processor : AMD Jaguar 2.3GHz 8-core, Graphics : AMD Radeon GCN 4.0, Weight : 3.81kg, Console Family : Microsoft Xbox One, Launched : 43040",1TB,Home Console,"HDMI-out, Optical Out",12GB,Disc,,3 USB 3.0 ports,AMD Jaguar 2.3GHz 8-core,AMD Radeon GCN 4.0,3.81kg,Microsoft Xbox One,November 2017
https://gadgets.ndtv.com/microsoft-xbox-one-x-11989,https://i.gadgets360cdn.com/products/large/1549457475_635_xbox_one_x.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"Microsoft Xbox One X (Grey, 1TB)","₹ 47,304",297,Gaming console,4.089108911,14,3,5,12,66," Hard Disk : 1TB, Console Type : Home Console, AV Digital Output : HDMI-out, Optical Out, RAM : 12GB, Input Method : Disc, Screen Size : , USB Ports : 3 USB 3.0 ports, Processor : AMD Jaguar 2.3GHz 8-core, Graphics : AMD Radeon GCN 4.0, Weight : 3.81kg, Console Family : Microsoft Xbox One, Launched : 43040",1TB,Home Console,"HDMI-out, Optical Out",12GB,Disc,,3 USB 3.0 ports,AMD Jaguar 2.3GHz 8-core,AMD Radeon GCN 4.0,3.81kg,Microsoft Xbox One,November 2017
https://gadgets.ndtv.com/nintendo-dsi-12023,https://i.gadgets360cdn.com/products/large/1550058662_635_nintendo_dsi_.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,,,Gaming console,0,0,0,0,0,0," Hard Disk : 256MB, Console Type : Handheld Console, AV Digital Output : No, RAM : 16MB, Input Method : Cartridge, Screen Size : 3.25-inches (upper); 3.25-inches (lower), USB Ports : No, Processor : ARM9 @ 133MHz; ARM7 @33MHz, Graphics : No, Weight : 214g, Console Family : Nintendo DS, Launched : 39904",256MB,Handheld Console,No,16MB,Cartridge,3.25-inches (upper); 3.25-inches (lower),No,ARM9 @ 133MHz; ARM7 @33MHz,No,214g,Nintendo DS,April 2009
https://gadgets.ndtv.com/nintendo-game-boy-micro-12034,https://i.gadgets360cdn.com/products/large/1550063938_635_game_boy_micro.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,,,Gaming console,0,0,0,0,0,0," Hard Disk : No, Console Type : Handheld Console, AV Digital Output : No, RAM : , Input Method : Cartridge, Screen Size : 2-inches, USB Ports : No, Processor : ARM7TDMI @ 16.78 MHz; Zilog Z80 @ 8MHz/4MHz, Graphics : No, Weight : 80g, Console Family : Nintendo Game Boy, Launched : 38596",No,Handheld Console,No,,Cartridge,2-inches,No,ARM7TDMI @ 16.78 MHz; Zilog Z80 @ 8MHz/4MHz,No,80g,Nintendo Game Boy,September 2005
